order_id,product,city,supplier,price,quantity,order_date,delivery_date,warehouse,transport_cost,discount,customer_rating,returned,payment_method,delivery_status,notes
ORD1050,Mouse,Delhi,Supplier C,15548 INR,7,08-11-2023,2023-07-09,WH3,100,0,5,,card ,delivered,check address
ORD1051,Mobile,Delhi,Supplier B,43589 INR,12,2023-04-25,2023-02-14,WH1,300rs,,,No,card ,delivered,late delivery
ORD1052,Mobile,Hyderabad,unknown,4530 INR,4,2023-08-06,2023-05-01,WH2,nan,ten,2,no,UPI,Cancelled,check address
ORD1053,Laptop,mumbai ,unknown,38853,12,21/09/2023,04/02/2023,WH1,nan,,2,,UPI,delivered,urgent
ORD1054,Mobile,Hyderabad,Supplier A,9995,12,2023-09-01,05/02/2023,WH2,unknown,,4,No,UPI,delivered,
ORD1055,Keyboard,Hyderabad,Supplier C,₹25703,4,02-04-2023,05-06-2023,WH3,100,0,5,yes,,delivered,late delivery
ORD1056,Mobile,delhi,Supplier C,26.527k,12,29/01/2023,20/06/2023,WH2,unknown,10,,no,Cash,Cancelled,late delivery
ORD1057,Monitor,Bengaluru,Supplier A,36.032k,8,03/05/2023,2023-05-06,,nan,0,5,yes,Cash,Cancelled,late delivery
ORD1058,Monitor,Mumbai,Supplier B,₹32430,3,11-29-2023,05-19-2023,,300,ten,,yes,card ,Pending,check address
ORD1059,Monitor,Hyderabad,Supplier C,₹1019,16,06/11/2023,2023-04-27,WH1,nan,ten,3,YES,card ,delivered,check address
ORD1060,Monitor,chen nai,Supplier B,46730 INR,2,2023-12-10,28/04/2023,,100,10,5,no,Cash,Cancelled,check address
ORD1061,Keyboard,Mumbai,unknown,24241 INR,6,2023-01-15,2023-03-15,WH3,100,5,2,YES,card ,delivered,late delivery
ORD1062,Tablet,Bengaluru,,8.296k,17,2023-04-16,2023-01-28,WH1,100,5,,,UPI,Pending,check address
ORD1063,Mouse,banglore,Supplier A,17333 INR,12,04-08-2023,2023-09-14,WH1,100,10,5,no,Card,Pending,late delivery
ORD1064,Laptop,mumbai ,Supplier C,42.516k,9,2023-07-04,2023-10-02,WH1,300rs,ten,3,No,,Delivered,late delivery
ORD1065,Monitor,Mumbai,Supplier A,19.628k,16,2023-03-26,09-08-2023,,100,10,4,yes,UPI,Cancelled,check address
ORD1066,Mobile,Chennai,unknown,20.367k,7,2023-05-23,2023-05-14,WH2,300,15,,yes,UPI,Pending,
ORD1067,Monitor,delhi,unknown,₹12755,8,2023-11-19,04-18-2023,,nan,10,1,YES,card ,Cancelled,late delivery
ORD1068,Mobile,Delhi,unknown,₹36493,7,2023-03-09,02-28-2023,WH1,200,10,,YES,,Cancelled,check address
ORD1069,Mouse,hydrabad,unknown,22750,5,11-18-2023,05-02-2023,WH2,200,,4,YES,Card,delivered,urgent
ORD1070,Mouse,banglore,,₹14025,7,03-26-2023,2023-06-05,WH1,300rs,0,3,no,Card,Cancelled,
ORD1071,Mouse,Bengaluru,Supplier B,5887 INR,18,10-03-2023,2023-01-04,WH1,200,10,5,yes,card ,delivered,urgent
ORD1072,Mobile,Hyderabad,Supplier B,14.658k,18,2023-12-25,2023-03-25,WH2,100,,2,No,,delivered,check address
ORD1073,Monitor,chen nai,,6.226k,16,2023-04-07,2023-03-05,WH2,200,10,,no,UPI,delivered,
ORD1074,Mouse,chen nai,Supplier B,36596,7,07/12/2023,2023-01-06,WH1,300,15,5,yes,UPI,,check address
ORD1075,Keyboard,mumbai ,unknown,46.799k,2,12-22-2023,11/11/2023,WH1,unknown,10,,,Cash,Cancelled,urgent
ORD1076,Mobile,Bengaluru,Supplier B,4988,17,2023-08-17,2023-09-09,,100,10,1,,UPI,Pending,urgent
ORD1077,Mobile,banglore,Supplier A,22663,8,15/08/2023,08-17-2023,,200,,2,YES,Card,Cancelled,check address
ORD1078,Monitor,Chennai,Supplier B,19853 INR,2,2023-12-25,22/09/2023,,100,10,4,YES,Card,Delivered,check address
ORD1079,Mobile,Delhi,Supplier A,19014,18,2023-10-14,13/01/2023,WH3,300rs,,,YES,,Cancelled,
ORD1080,Mobile,Hyderabad,Supplier C,15.239k,19,04-27-2023,2023-04-06,WH1,300,0,3,yes,UPI,,
ORD1081,Mouse,hydrabad,Supplier A,37046,9,16/06/2023,05/07/2023,,nan,,4,YES,UPI,Delivered,check address
ORD1082,Monitor,delhi,Supplier A,₹19422,12,2023-01-06,2023-11-04,WH1,unknown,ten,1,No,UPI,Delivered,
ORD1083,Mouse,Bangalore,unknown,22.816k,19,10-18-2023,05-26-2023,WH3,100,0,,No,Card,delivered,late delivery
ORD1084,Mouse,Bangalore,unknown,28.055k,8,2023-12-12,05/10/2023,,300,ten,1,,Card,Pending,
ORD1085,Monitor,Hyderabad,unknown,₹7470,8,23/11/2023,06-14-2023,,300rs,10,5,no,card ,Delivered,late delivery
ORD1086,Laptop,banglore,Supplier A,24461,10,2023-06-15,05/12/2023,WH1,300rs,0,5,yes,Cash,,
ORD1087,Mouse,Hyderabad,,46534,18,10-31-2023,07-23-2023,WH1,300,5,,no,UPI,Pending,urgent
ORD1088,Keyboard,Bengaluru,unknown,5761,15,2023-04-21,2023-05-28,WH2,200,ten,5,YES,card ,Cancelled,urgent
ORD1089,Keyboard,Bangalore,unknown,22603 INR,11,2023-01-12,2023-09-11,WH2,300,5,1,yes,,,check address
ORD1090,Mobile,mumbai ,Supplier A,35155,14,12-31-2023,2023-03-23,,200,,2,YES,UPI,Pending,
ORD1091,Keyboard,Bengaluru,Supplier C,48914 INR,15,2023-08-07,2023-07-05,WH2,200,15,,no,UPI,,check address
ORD1092,Mobile,Bangalore,Supplier C,22.996k,14,2023-10-25,27/01/2023,,300,10,4,,card ,Delivered,urgent
ORD1093,Laptop,Chennai,Supplier B,40.978k,12,2023-11-30,2023-10-21,WH1,300rs,ten,4,No,Cash,delivered,
ORD1094,Monitor,hydrabad,Supplier C,34.342k,4,2023-02-09,11-15-2023,WH2,nan,5,3,No,,delivered,late delivery
ORD1095,Monitor,Delhi,unknown,10913 INR,3,2023-03-30,2023-02-28,,nan,15,3,No,,Pending,
ORD1096,Monitor,chen nai,,42978 INR,12,03-17-2023,06/11/2023,WH1,300,,2,yes,,delivered,urgent
ORD1097,Keyboard,Bengaluru,Supplier B,41.564k,7,2023-03-10,2023-07-13,,100,0,5,YES,Card,Delivered,
ORD1098,Laptop,chen nai,,30999 INR,7,2023-01-12,2023-12-13,WH3,300,10,5,No,Cash,,
ORD1099,Keyboard,chen nai,,32748,19,2023-03-22,27/02/2023,WH2,nan,ten,2,YES,UPI,delivered,check address
ORD1100,Keyboard,Bangalore,unknown,33331 INR,14,12-31-2023,14/05/2023,WH3,unknown,0,4,No,Cash,Delivered,check address
ORD1101,Laptop,Bengaluru,Supplier A,45.38k,1,2023-01-24,12-19-2023,WH1,300,10,5,no,Cash,,urgent
ORD1102,Laptop,Delhi,Supplier A,₹35224,7,03-27-2023,01/08/2023,,unknown,5,4,,Cash,Delivered,check address
ORD1103,Laptop,Chennai,Supplier A,35.363k,10,2023-01-31,05/05/2023,,unknown,15,1,YES,Cash,Pending,check address
ORD1104,Laptop,Mumbai,Supplier C,₹25692,18,06-27-2023,08/04/2023,WH1,unknown,,,yes,Cash,,
ORD1105,Monitor,mumbai ,Supplier A,8986 INR,13,2023-02-24,24/03/2023,WH3,300rs,10,3,No,Card,,check address
ORD1106,Tablet,chen nai,unknown,14146 INR,8,28/05/2023,06-08-2023,,nan,5,5,no,card ,Delivered,check address
ORD1107,Tablet,Delhi,Supplier C,43810,9,2023-04-03,2023-09-06,WH3,nan,ten,3,No,Cash,delivered,
ORD1108,Laptop,delhi,Supplier A,₹34599,15,14/03/2023,2023-07-10,WH3,nan,,2,,UPI,Pending,check address
ORD1109,Tablet,delhi,,22352,8,2023-03-29,04/05/2023,WH3,300rs,10,,No,Cash,delivered,check address
ORD1110,Tablet,Mumbai,unknown,11973 INR,1,08-24-2023,2023-01-10,WH2,nan,5,1,,,Cancelled,late delivery
ORD1111,Laptop,Mumbai,unknown,19501 INR,3,2023-08-26,2023-10-19,WH3,100,,5,YES,,Pending,urgent
ORD1112,Tablet,Mumbai,Supplier B,21866,19,15/03/2023,2023-01-19,WH2,nan,0,5,,,Pending,
ORD1113,Keyboard,hydrabad,unknown,₹19390,9,2023-02-28,12/07/2023,WH3,300,15,4,no,,Delivered,check address
ORD1114,Mobile,mumbai ,,44531,19,2023-02-12,03-13-2023,WH3,100,15,3,no,Cash,Delivered,check address
ORD1115,Mobile,mumbai ,unknown,42256 INR,15,10-05-2023,05-02-2023,WH2,200,ten,1,YES,,Pending,check address
ORD1116,Laptop,Chennai,Supplier B,40.528k,14,06/01/2023,08-21-2023,,nan,ten,,yes,Card,Pending,check address
ORD1117,Monitor,chen nai,unknown,42678 INR,1,23/10/2023,25/08/2023,,200,0,4,no,Cash,,
ORD1118,Laptop,banglore,unknown,28712,3,2023-03-02,03/09/2023,WH1,200,15,,YES,card ,delivered,check address
ORD1119,Monitor,hydrabad,Supplier B,6694 INR,2,2023-07-01,10-25-2023,WH1,300rs,15,1,YES,,Delivered,urgent
ORD1120,Mobile,delhi,unknown,20463,1,10-19-2023,2023-05-13,,300,10,1,no,Cash,,urgent
ORD1121,Laptop,Bangalore,Supplier C,₹22662,18,2023-04-12,2023-07-30,WH1,unknown,5,2,YES,Card,Cancelled,check address
ORD1122,Mouse,Bangalore,unknown,1010,1,06-16-2023,04/01/2023,,300,0,2,YES,UPI,Pending,check address
ORD1123,Keyboard,Mumbai,Supplier A,38.648k,9,2023-11-25,06/01/2023,WH1,200,ten,4,No,Cash,Delivered,
ORD1124,Tablet,Hyderabad,Supplier A,28515,7,2023-11-27,2023-12-09,,300rs,5,4,YES,card ,Pending,late delivery
ORD1125,Monitor,delhi,Supplier C,11846,13,2023-04-06,12-11-2023,WH2,100,15,,no,UPI,,
ORD1126,Mouse,banglore,unknown,₹48258,17,15/09/2023,2023-07-30,WH1,nan,5,4,no,,Pending,
ORD1127,Tablet,hydrabad,,47285,13,01-31-2023,2023-08-19,WH2,unknown,,1,no,Cash,Pending,urgent
ORD1128,Tablet,banglore,unknown,29026,13,23/11/2023,2023-04-18,WH2,100,0,5,No,,,urgent
ORD1129,Laptop,Bangalore,Supplier A,17982 INR,10,2023-02-11,2023-11-21,WH2,nan,0,2,no,UPI,delivered,late delivery
ORD1130,Tablet,Hyderabad,Supplier B,18.207k,6,12-04-2023,12-02-2023,WH2,200,0,,YES,Card,,check address
ORD1131,Keyboard,banglore,Supplier C,44.357k,5,2023-12-07,18/09/2023,WH2,300rs,10,,,card ,Pending,late delivery
ORD1132,Mouse,delhi,Supplier B,38985 INR,10,13/12/2023,06-05-2023,WH3,300rs,5,,No,Cash,delivered,check address
ORD1133,Tablet,chen nai,,40.854k,14,2023-11-13,05-08-2023,WH2,unknown,5,5,,UPI,,urgent
ORD1134,Laptop,Delhi,unknown,₹13306,11,02-20-2023,01/02/2023,WH1,unknown,ten,3,yes,UPI,,urgent
ORD1135,Keyboard,Hyderabad,,₹1312,5,2023-04-22,12/07/2023,WH2,300,10,2,,Cash,Delivered,check address
ORD1136,Mobile,banglore,Supplier B,44934,4,2023-08-29,08/03/2023,WH1,unknown,0,,YES,Cash,,urgent
ORD1137,Mouse,Hyderabad,unknown,7671,3,12/10/2023,2023-10-18,WH2,300,10,3,No,,Pending,late delivery
ORD1138,Tablet,Hyderabad,,24.084k,14,08-16-2023,2023-02-09,WH1,100,10,3,no,Cash,Delivered,late delivery
ORD1139,Laptop,chen nai,Supplier A,₹45698,13,11-23-2023,09-30-2023,WH2,unknown,15,4,no,Cash,delivered,late delivery
ORD1140,Mobile,delhi,Supplier A,36260 INR,5,2023-06-04,2023-04-27,,300,0,,,UPI,Delivered,check address
ORD1141,Mobile,hydrabad,Supplier C,43905 INR,12,02-19-2023,03-29-2023,WH3,nan,ten,1,,,Cancelled,
ORD1142,Monitor,Bangalore,Supplier A,₹17614,10,2023-12-08,2023-10-20,WH1,300rs,,5,,,delivered,late delivery
ORD1143,Keyboard,chen nai,Supplier A,₹11864,2,12-04-2023,08-22-2023,WH1,300rs,ten,,YES,card ,Cancelled,check address
ORD1144,Tablet,banglore,Supplier B,49114 INR,7,12-09-2023,2023-06-22,WH2,200,15,3,no,card ,Pending,
ORD1145,Laptop,Mumbai,Supplier A,16.224k,7,12-11-2023,03/08/2023,WH1,200,0,,yes,card ,delivered,
ORD1146,Monitor,chen nai,Supplier A,48462 INR,4,2023-06-20,2023-02-02,WH2,unknown,0,4,YES,card ,delivered,late delivery
ORD1147,Keyboard,Mumbai,Supplier B,₹45414,12,14/03/2023,2023-09-01,WH3,unknown,0,1,no,,Delivered,urgent
ORD1148,Monitor,Bengaluru,Supplier A,45543,4,12/08/2023,23/01/2023,,100,5,2,no,UPI,Cancelled,urgent
ORD1149,Mouse,Bangalore,Supplier A,1.043k,7,2023-12-09,09/08/2023,,200,0,3,no,card ,Cancelled,late delivery
ORD1150,Keyboard,delhi,Supplier C,₹41300,13,02-16-2023,24/11/2023,WH3,nan,0,,no,card ,Delivered,
ORD1151,Keyboard,Delhi,Supplier A,25476,8,2023-11-19,2023-08-16,WH2,300,,4,No,,Delivered,late delivery
ORD1152,Tablet,Hyderabad,Supplier A,₹28500,14,05-09-2023,21/03/2023,WH2,300,0,,no,Card,Delivered,
ORD1153,Keyboard,Mumbai,Supplier C,29.269k,3,08-09-2023,2023-05-23,WH3,100,10,,,UPI,Delivered,urgent
ORD1154,Monitor,Delhi,Supplier B,20.841k,2,04/02/2023,2023-12-25,WH1,300,0,,no,UPI,,late delivery
ORD1155,Keyboard,Delhi,Supplier A,39152,10,2023-01-29,2023-07-07,WH1,300rs,0,,yes,UPI,Delivered,check address
ORD1156,Tablet,Mumbai,,31931 INR,6,04-06-2023,12-16-2023,WH1,300,ten,4,No,Card,Delivered,urgent
ORD1157,Tablet,Delhi,Supplier B,6615 INR,7,10-13-2023,08-29-2023,WH3,200,0,4,yes,card ,Delivered,urgent
ORD1158,Mouse,Hyderabad,Supplier B,28961,16,08/02/2023,08-28-2023,,300rs,5,2,yes,card ,,
ORD1159,Monitor,hydrabad,Supplier A,₹33513,6,2023-07-23,2023-04-02,,200,15,1,yes,UPI,Pending,urgent
ORD1160,Mobile,Chennai,Supplier C,₹22890,16,2023-11-04,2023-01-11,,200,5,5,YES,Card,Pending,
ORD1161,Mobile,Bengaluru,Supplier B,₹27870,12,04-14-2023,2023-06-09,WH2,100,,5,no,Card,Delivered,
ORD1162,Keyboard,Mumbai,Supplier C,36763,15,2023-10-07,07-10-2023,WH3,100,ten,3,no,,delivered,check address
ORD1163,Mouse,Hyderabad,,46876,3,03-11-2023,01-28-2023,WH1,300rs,ten,1,yes,,,urgent
ORD1164,Laptop,Bangalore,Supplier C,48175,16,09-02-2023,2023-03-16,,300,,3,no,card ,Delivered,urgent
ORD1165,Keyboard,Mumbai,unknown,45327,18,2023-09-02,2023-01-01,,unknown,10,5,YES,card ,,late delivery
ORD1166,Mouse,hydrabad,Supplier C,44302 INR,15,17/09/2023,12-16-2023,,unknown,10,2,no,card ,,late delivery
ORD1167,Monitor,Hyderabad,Supplier B,25746,6,2023-04-05,2023-11-21,WH2,nan,,,no,UPI,Pending,check address
ORD1168,Monitor,Hyderabad,Supplier C,38109 INR,17,2023-04-12,18/06/2023,WH2,300,15,1,yes,UPI,Cancelled,urgent
ORD1169,Monitor,chen nai,Supplier C,30836,2,2023-04-29,06-06-2023,WH1,300rs,ten,1,No,,Cancelled,check address
ORD1170,Monitor,Chennai,unknown,₹10831,2,2023-08-16,2023-06-30,,nan,15,3,No,card ,Cancelled,late delivery
ORD1171,Monitor,hydrabad,unknown,34384,17,2023-04-19,2023-10-21,,200,,3,no,card ,Delivered,urgent
ORD1172,Mouse,Mumbai,Supplier A,₹34007,19,2023-09-08,11-27-2023,,200,0,2,yes,,Cancelled,urgent
ORD1173,Mouse,delhi,Supplier B,39820,5,12-27-2023,07-28-2023,WH2,nan,5,1,No,UPI,Delivered,
ORD1174,Tablet,Hyderabad,Supplier A,40222 INR,4,2023-05-14,09-06-2023,WH1,200,5,5,No,UPI,delivered,check address
ORD1175,Mobile,Bengaluru,unknown,30069,18,22/11/2023,2023-10-28,WH3,300,0,5,,,Pending,urgent
ORD1176,Monitor,chen nai,Supplier C,43816 INR,8,03-07-2023,11-06-2023,WH2,100,15,4,No,Card,delivered,late delivery
ORD1177,Laptop,Hyderabad,unknown,42.882k,9,2023-02-05,2023-06-12,,unknown,5,5,YES,Cash,Delivered,late delivery
ORD1178,Mouse,Mumbai,,18.196k,18,2023-10-21,2023-06-12,WH1,300,5,,,Cash,delivered,urgent
ORD1179,Laptop,banglore,Supplier C,5999 INR,11,17/08/2023,22/12/2023,WH1,200,10,,yes,,Cancelled,check address
ORD1180,Laptop,Hyderabad,Supplier A,25026 INR,16,15/12/2023,09-23-2023,WH3,100,15,4,,Card,delivered,
ORD1181,Laptop,mumbai ,Supplier C,2730,16,2023-08-21,17/08/2023,,300,,4,No,,,urgent
ORD1182,Tablet,banglore,,4424 INR,4,2023-02-05,2023-02-18,WH2,unknown,,3,,card ,,urgent
ORD1183,Mouse,Hyderabad,unknown,39.83k,9,07-30-2023,02/01/2023,WH2,200,0,5,yes,Card,Pending,urgent
ORD1184,Laptop,Delhi,Supplier B,30716 INR,13,21/04/2023,2023-01-18,WH2,300,5,4,no,card ,delivered,
ORD1185,Monitor,hydrabad,Supplier B,32.226k,8,07-12-2023,21/09/2023,,200,,5,YES,,Delivered,
ORD1186,Keyboard,Hyderabad,Supplier B,3.207k,11,30/05/2023,05-25-2023,,300rs,0,5,no,UPI,Pending,late delivery
ORD1187,Laptop,Bangalore,unknown,14031 INR,9,08-15-2023,2023-10-14,,nan,10,5,yes,card ,Cancelled,check address
ORD1188,Tablet,Delhi,Supplier B,29008,18,2023-04-30,2023-05-27,WH2,200,15,2,no,UPI,Cancelled,urgent
ORD1189,Mouse,Mumbai,,30484,3,2023-12-05,2023-06-25,,unknown,5,4,YES,UPI,,
ORD1190,Tablet,Bengaluru,unknown,47635 INR,18,13/09/2023,06/09/2023,,300,5,,yes,,Pending,urgent
ORD1191,Laptop,banglore,Supplier B,4368,19,06-12-2023,01-09-2023,,unknown,0,5,no,,Cancelled,check address
ORD1192,Mouse,delhi,Supplier A,22.855k,9,07-15-2023,10-17-2023,WH3,200,5,3,YES,Cash,delivered,check address
ORD1193,Keyboard,chen nai,unknown,₹3227,18,22/05/2023,05-08-2023,WH3,200,15,2,,card ,Pending,late delivery
ORD1194,Laptop,Bengaluru,unknown,49522,16,10-08-2023,2023-12-16,,unknown,,4,no,UPI,delivered,check address
ORD1195,Tablet,Delhi,Supplier C,₹31322,14,23/02/2023,2023-04-12,,300,0,1,,card ,delivered,check address
ORD1196,Mobile,chen nai,Supplier B,₹44220,19,09-16-2023,2023-05-31,WH2,300,15,4,No,card ,delivered,
ORD1197,Monitor,banglore,Supplier A,13.817k,15,12-20-2023,2023-10-23,WH1,100,5,2,,,Pending,late delivery
ORD1198,Tablet,delhi,,47.474k,4,2023-04-06,2023-02-03,,unknown,,3,,card ,Pending,late delivery
ORD1199,Mouse,mumbai ,unknown,48130,12,02-26-2023,2023-01-11,WH2,unknown,15,2,No,Cash,,check address
ORD1200,Laptop,mumbai ,,14226,7,2023-05-04,09-30-2023,WH2,200,,5,yes,Card,Pending,check address
ORD1201,Monitor,hydrabad,,44.877k,11,06/10/2023,2023-01-04,WH1,300rs,,,No,UPI,Delivered,
ORD1202,Laptop,delhi,,45480,7,2023-03-02,2023-03-06,WH2,nan,0,,,Card,Pending,urgent
ORD1203,Mouse,chen nai,Supplier C,32157 INR,3,2023-11-16,2023-08-24,WH1,unknown,5,2,yes,Card,,urgent
ORD1204,Laptop,Mumbai,,21764,4,2023-08-01,09-12-2023,,200,10,1,no,UPI,Pending,
ORD1205,Mobile,chen nai,Supplier B,19.204k,2,29/03/2023,2023-08-03,WH3,300,10,1,YES,Card,Delivered,late delivery
ORD1206,Monitor,hydrabad,Supplier B,1.188k,15,2023-06-08,01-03-2023,WH1,100,10,5,yes,card ,Pending,check address
ORD1207,Monitor,Hyderabad,Supplier A,31397,12,2023-10-19,07/12/2023,,200,15,5,,,,late delivery
ORD1208,Mouse,chen nai,Supplier A,₹10414,17,2023-05-05,2023-12-13,,300rs,10,1,no,Cash,Delivered,check address
ORD1209,Mobile,Mumbai,,38989 INR,18,2023-09-23,30/05/2023,WH3,300,ten,,yes,Cash,,
ORD1210,Tablet,Bengaluru,,42.438k,8,2023-07-22,2023-12-31,WH2,300rs,ten,3,YES,card ,Cancelled,urgent
ORD1211,Laptop,banglore,Supplier C,7746,8,26/10/2023,2023-04-02,WH1,300rs,5,,,,delivered,check address
ORD1212,Keyboard,chen nai,,15.331k,5,03/06/2023,2023-01-23,WH1,unknown,10,,No,,,urgent
ORD1213,Laptop,banglore,,12254,9,13/08/2023,02-24-2023,WH2,nan,,2,YES,Card,Cancelled,late delivery
ORD1214,Laptop,Delhi,,₹11217,5,09-30-2023,2023-06-24,WH3,nan,ten,1,YES,Cash,Pending,urgent
