order_id,product,city,supplier,price_cleaned,quantity,order_date_clean,delivery_date_clean,warehouse,transport_cost,discount,customer_rating,returned,payment_method,delivery_status,notes
ORD1015,Monitor,Chennai,Unknown,34884.0,19,2023-02-12,2023-02-18,WH2,300.0,15.0,5.0,Yes,Cash,Cancelled,urgent
ORD1016,Mouse,Bangalore,Unknown,41518.0,4,2023-10-18,2023-06-22,WH2,200.0,5.0,3.0,No,Cash,Cancelled,urgent
ORD1017,Mouse,Bangalore,Supplier C,47348.0,16,2023-10-03,2023-03-23,WH3,300.0,15.0,5.0,No,Card,Delivered,No Notes
ORD1018,Mobile,Bangalore,Supplier C,14932.0,6,2023-03-04,2023-09-10,WH3,300.0,15.0,3.0,Yes,Card,Delivered,check address
ORD1019,Monitor,Bangalore,Supplier C,44700.0,11,2023-06-04,2023-12-06,Unknown,300.0,10.0,,Yes,Card,Delivered,urgent
ORD1020,Keyboard,Mumbai,Supplier C,22718.0,17,2023-08-06,2023-03-28,Unknown,200.0,15.0,,No,Card,Unknown,check address
ORD1021,Laptop,Delhi,Supplier B,47014.0,15,2023-04-21,2023-03-05,WH3,200.0,10.0,,No,Card,Cancelled,No Notes
ORD1022,Monitor,Chennai,Unknown,20640.0,4,2023-10-18,2023-08-09,Unknown,100.0,5.0,1.0,No,Card,Cancelled,late delivery
ORD1023,Mobile,Bangalore,Unknown,43108.0,8,2023-01-18,2023-11-30,WH3,100.0,5.0,2.0,No,Card,Pending,No Notes
ORD1024,Mouse,Mumbai,Supplier B,20560.0,18,2023-04-10,2023-04-12,WH1,200.0,0.0,4.0,No,Unknown,Delivered,check address
ORD1025,Keyboard,Chennai,Unknown,7380.0,14,2023-03-16,2023-01-17,Unknown,300.0,0.0,5.0,No,Unknown,Cancelled,check address
ORD1026,Monitor,Bangalore,Supplier C,48756.0,2,2023-01-17,2023-07-28,WH2,300.0,0.0,3.0,Yes,Cash,Delivered,urgent
ORD1027,Laptop,Hyderabad,Supplier A,29829.0,16,2023-06-01,2023-09-30,WH1,100.0,5.0,,No,Upi,Unknown,urgent
ORD1028,Laptop,Hyderabad,Unknown,49601.0,15,2023-12-26,2023-12-31,WH1,100.0,10.0,2.0,No,Unknown,Delivered,No Notes
ORD1029,Tablet,Bangalore,Supplier A,30579.0,6,2023-02-25,2023-01-27,Unknown,300.0,5.0,4.0,No,Unknown,Delivered,check address
ORD1030,Tablet,Hyderabad,Supplier A,31200.0,9,2023-04-01,2023-01-09,WH3,300.0,10.0,2.0,No,Card,Delivered,check address
ORD1031,Mobile,Chennai,Supplier B,20729.0,12,2023-01-23,2023-03-30,WH2,300.0,10.0,,No,Upi,Cancelled,No Notes
ORD1032,Monitor,Chennai,Unknown,29537.0,10,2023-09-29,2023-09-18,WH3,300.0,10.0,5.0,Yes,Card,Cancelled,check address
ORD1033,Monitor,Delhi,Unknown,43100.0,7,2023-07-25,2023-04-03,Unknown,200.0,0.0,5.0,No,Card,Cancelled,check address
ORD1034,Mouse,Chennai,Supplier B,25125.0,5,2023-07-08,2023-06-28,WH3,100.0,10.0,4.0,No,Cash,Cancelled,late delivery
ORD1035,Mouse,Mumbai,Supplier B,6655.0,8,2023-12-17,2023-03-24,Unknown,200.0,0.0,4.0,Yes,Card,Delivered,late delivery
ORD1036,Mouse,Mumbai,Supplier A,3448.0,12,2023-03-24,2023-11-08,Unknown,300.0,10.0,,Yes,Card,Cancelled,check address
ORD1037,Tablet,Bangalore,Unknown,15185.0,1,2023-05-19,2023-04-23,WH2,200.0,10.0,,No,Cash,Delivered,No Notes
ORD1038,Monitor,Chennai,Supplier B,18211.0,10,2023-06-02,2023-07-17,Unknown,300.0,10.0,5.0,Yes,Card,Pending,check address
ORD1039,Monitor,Hyderabad,Supplier C,23280.0,11,2023-03-21,2023-09-26,WH2,300.0,0.0,5.0,No,Upi,Cancelled,urgent
ORD1040,Laptop,Bangalore,Supplier B,34971.0,5,2023-12-02,2023-12-01,WH1,300.0,10.0,1.0,No,Cash,Unknown,urgent
ORD1041,Tablet,Chennai,Supplier C,40387.0,13,2023-08-07,2023-02-20,WH3,200.0,0.0,4.0,Yes,Unknown,Pending,No Notes
ORD1042,Keyboard,Mumbai,Unknown,7798.0,18,2023-03-08,2023-03-19,Unknown,300.0,5.0,4.0,No,Card,Delivered,No Notes
ORD1043,Tablet,Bangalore,Supplier C,18228.0,10,2023-01-04,2023-07-29,WH3,300.0,5.0,5.0,No,Upi,Delivered,late delivery
ORD1044,Keyboard,Mumbai,Supplier C,36739.0,17,2023-11-30,2023-11-24,WH3,200.0,0.0,3.0,No,Card,Delivered,urgent
ORD1045,Laptop,Bangalore,Supplier A,35036.0,19,2023-01-09,2023-06-01,WH2,300.0,10.0,1.0,No,Cash,Unknown,check address
ORD1046,Mobile,Delhi,Supplier B,49720.0,4,2023-10-20,2023-03-24,WH3,300.0,15.0,3.0,No,Cash,Cancelled,check address
ORD1047,Monitor,Delhi,Unknown,30309.0,9,2023-04-28,2023-03-19,WH3,100.0,15.0,5.0,Yes,Card,Unknown,No Notes
ORD1048,Laptop,Chennai,Supplier B,5744.0,18,2023-09-14,2023-03-11,WH3,100.0,0.0,1.0,Yes,Card,Cancelled,check address
ORD1049,Monitor,Bangalore,Supplier C,41503.0,16,2023-10-06,2023-02-02,Unknown,300.0,15.0,1.0,Yes,Cash,Cancelled,urgent
ORD1050,Mouse,Delhi,Supplier C,15548.0,7,2023-08-11,2023-07-09,WH3,100.0,0.0,5.0,No,Card,Delivered,check address
ORD1051,Mobile,Delhi,Supplier B,43589.0,12,2023-04-25,2023-02-14,WH1,300.0,0.0,,No,Card,Delivered,late delivery
ORD1052,Mobile,Hyderabad,Unknown,4530.0,4,2023-08-06,2023-05-01,WH2,300.0,10.0,2.0,No,Upi,Cancelled,check address
ORD1053,Laptop,Mumbai,Unknown,38853.0,12,2023-09-21,2023-04-02,WH1,200.0,0.0,2.0,No,Upi,Delivered,urgent
ORD1054,Mobile,Hyderabad,Supplier A,9995.0,12,2023-09-01,2023-05-02,WH2,300.0,0.0,4.0,No,Upi,Delivered,No Notes
ORD1055,Keyboard,Hyderabad,Supplier C,25703.0,4,2023-02-04,2023-05-06,WH3,100.0,0.0,5.0,Yes,Unknown,Delivered,late delivery
ORD1056,Mobile,Delhi,Supplier C,26527.0,12,2023-01-29,2023-06-20,WH2,300.0,10.0,,No,Cash,Cancelled,late delivery
ORD1057,Monitor,Bangalore,Supplier A,36032.0,8,2023-03-05,2023-05-06,Unknown,300.0,0.0,5.0,Yes,Cash,Cancelled,late delivery
ORD1058,Monitor,Mumbai,Supplier B,32430.0,3,2023-11-29,2023-05-19,Unknown,300.0,10.0,,Yes,Card,Pending,check address
ORD1059,Monitor,Hyderabad,Supplier C,1019.0,16,2023-06-11,2023-04-27,WH1,300.0,10.0,3.0,Yes,Card,Delivered,check address
ORD1060,Monitor,Chennai,Supplier B,46730.0,2,2023-12-10,2023-04-28,Unknown,100.0,10.0,5.0,No,Cash,Cancelled,check address
ORD1061,Keyboard,Mumbai,Unknown,24241.0,6,2023-01-15,2023-03-15,WH3,100.0,5.0,2.0,Yes,Card,Delivered,late delivery
ORD1062,Tablet,Bangalore,Unknown,8296.0,17,2023-04-16,2023-01-28,WH1,100.0,5.0,,No,Upi,Pending,check address
ORD1063,Mouse,Bangalore,Supplier A,17333.0,12,2023-04-08,2023-09-14,WH1,100.0,10.0,5.0,No,Card,Pending,late delivery
ORD1064,Laptop,Mumbai,Supplier C,42516.0,9,2023-07-04,2023-10-02,WH1,300.0,10.0,3.0,No,Unknown,Delivered,late delivery
ORD1065,Monitor,Mumbai,Supplier A,19628.0,16,2023-03-26,2023-09-08,Unknown,100.0,10.0,4.0,Yes,Upi,Cancelled,check address
ORD1066,Mobile,Chennai,Unknown,20367.0,7,2023-05-23,2023-05-14,WH2,300.0,15.0,,Yes,Upi,Pending,No Notes
ORD1067,Monitor,Delhi,Unknown,12755.0,8,2023-11-19,2023-04-18,Unknown,300.0,10.0,1.0,Yes,Card,Cancelled,late delivery
ORD1068,Mobile,Delhi,Unknown,36493.0,7,2023-03-09,2023-02-28,WH1,200.0,10.0,,Yes,Unknown,Cancelled,check address
ORD1069,Mouse,Hyderabad,Unknown,22750.0,5,2023-11-18,2023-05-02,WH2,200.0,0.0,4.0,Yes,Card,Delivered,urgent
ORD1070,Mouse,Bangalore,Unknown,14025.0,7,2023-03-26,2023-06-05,WH1,300.0,0.0,3.0,No,Card,Cancelled,No Notes
ORD1071,Mouse,Bangalore,Supplier B,5887.0,18,2023-10-03,2023-01-04,WH1,200.0,10.0,5.0,Yes,Card,Delivered,urgent
ORD1072,Mobile,Hyderabad,Supplier B,14658.0,18,2023-12-25,2023-03-25,WH2,100.0,0.0,2.0,No,Unknown,Delivered,check address
ORD1073,Monitor,Chennai,Unknown,6226.0,16,2023-04-07,2023-03-05,WH2,200.0,10.0,,No,Upi,Delivered,No Notes
ORD1074,Mouse,Chennai,Supplier B,36596.0,7,2023-07-12,2023-01-06,WH1,300.0,15.0,5.0,Yes,Upi,Unknown,check address
ORD1075,Keyboard,Mumbai,Unknown,46799.0,2,2023-12-22,2023-11-11,WH1,200.0,10.0,,No,Cash,Cancelled,urgent
ORD1076,Mobile,Bangalore,Supplier B,4988.0,17,2023-08-17,2023-09-09,Unknown,100.0,10.0,1.0,No,Upi,Pending,urgent
ORD1077,Mobile,Bangalore,Supplier A,22663.0,8,2023-08-15,2023-08-17,Unknown,200.0,0.0,2.0,Yes,Card,Cancelled,check address
ORD1078,Monitor,Chennai,Supplier B,19853.0,2,2023-12-25,2023-09-22,Unknown,100.0,10.0,4.0,Yes,Card,Delivered,check address
ORD1079,Mobile,Delhi,Supplier A,19014.0,18,2023-10-14,2023-01-13,WH3,300.0,0.0,,Yes,Unknown,Cancelled,No Notes
ORD1080,Mobile,Hyderabad,Supplier C,15239.0,19,2023-04-27,2023-04-06,WH1,300.0,0.0,3.0,Yes,Upi,Unknown,No Notes
ORD1081,Mouse,Hyderabad,Supplier A,37046.0,9,2023-06-16,2023-05-07,Unknown,300.0,0.0,4.0,Yes,Upi,Delivered,check address
ORD1082,Monitor,Delhi,Supplier A,19422.0,12,2023-01-06,2023-11-04,WH1,300.0,10.0,1.0,No,Upi,Delivered,No Notes
ORD1083,Mouse,Bangalore,Unknown,22816.0,19,2023-10-18,2023-05-26,WH3,100.0,0.0,,No,Card,Delivered,late delivery
ORD1084,Mouse,Bangalore,Unknown,28055.0,8,2023-12-12,2023-05-10,Unknown,300.0,10.0,1.0,No,Card,Pending,No Notes
ORD1085,Monitor,Hyderabad,Unknown,7470.0,8,2023-11-23,2023-06-14,Unknown,300.0,10.0,5.0,No,Card,Delivered,late delivery
ORD1086,Laptop,Bangalore,Supplier A,24461.0,10,2023-06-15,2023-05-12,WH1,300.0,0.0,5.0,Yes,Cash,Unknown,No Notes
ORD1087,Mouse,Hyderabad,Unknown,46534.0,18,2023-10-31,2023-07-23,WH1,300.0,5.0,,No,Upi,Pending,urgent
ORD1088,Keyboard,Bangalore,Unknown,5761.0,15,2023-04-21,2023-05-28,WH2,200.0,10.0,5.0,Yes,Card,Cancelled,urgent
ORD1089,Keyboard,Bangalore,Unknown,22603.0,11,2023-01-12,2023-09-11,WH2,300.0,5.0,1.0,Yes,Unknown,Unknown,check address
ORD1090,Mobile,Mumbai,Supplier A,35155.0,14,2023-12-31,2023-03-23,Unknown,200.0,0.0,2.0,Yes,Upi,Pending,No Notes
ORD1091,Keyboard,Bangalore,Supplier C,48914.0,15,2023-08-07,2023-07-05,WH2,200.0,15.0,,No,Upi,Unknown,check address
ORD1092,Mobile,Bangalore,Supplier C,22996.0,14,2023-10-25,2023-01-27,Unknown,300.0,10.0,4.0,No,Card,Delivered,urgent
ORD1093,Laptop,Chennai,Supplier B,40978.0,12,2023-11-30,2023-10-21,WH1,300.0,10.0,4.0,No,Cash,Delivered,No Notes
ORD1094,Monitor,Hyderabad,Supplier C,34342.0,4,2023-02-09,2023-11-15,WH2,300.0,5.0,3.0,No,Unknown,Delivered,late delivery
ORD1095,Monitor,Delhi,Unknown,10913.0,3,2023-03-30,2023-02-28,Unknown,300.0,15.0,3.0,No,Unknown,Pending,No Notes
ORD1096,Monitor,Chennai,Unknown,42978.0,12,2023-03-17,2023-06-11,WH1,300.0,0.0,2.0,Yes,Unknown,Delivered,urgent
ORD1097,Keyboard,Bangalore,Supplier B,41564.0,7,2023-03-10,2023-07-13,Unknown,100.0,0.0,5.0,Yes,Card,Delivered,No Notes
ORD1098,Laptop,Chennai,Unknown,30999.0,7,2023-01-12,2023-12-13,WH3,300.0,10.0,5.0,No,Cash,Unknown,No Notes
ORD1099,Keyboard,Chennai,Unknown,32748.0,19,2023-03-22,2023-02-27,WH2,300.0,10.0,2.0,Yes,Upi,Delivered,check address
ORD1100,Keyboard,Bangalore,Unknown,33331.0,14,2023-12-31,2023-05-14,WH3,300.0,0.0,4.0,No,Cash,Delivered,check address
ORD1101,Laptop,Bangalore,Supplier A,45380.0,1,2023-01-24,2023-12-19,WH1,300.0,10.0,5.0,No,Cash,Unknown,urgent
ORD1102,Laptop,Delhi,Supplier A,35224.0,7,2023-03-27,2023-01-08,Unknown,300.0,5.0,4.0,No,Cash,Delivered,check address
ORD1103,Laptop,Chennai,Supplier A,35363.0,10,2023-01-31,2023-05-05,Unknown,300.0,15.0,1.0,Yes,Cash,Pending,check address
ORD1104,Laptop,Mumbai,Supplier C,25692.0,18,2023-06-27,2023-08-04,WH1,200.0,0.0,,Yes,Cash,Unknown,No Notes
ORD1105,Monitor,Mumbai,Supplier A,8986.0,13,2023-02-24,2023-03-24,WH3,300.0,10.0,3.0,No,Card,Unknown,check address
ORD1106,Tablet,Chennai,Unknown,14146.0,8,2023-05-28,2023-06-08,Unknown,300.0,5.0,5.0,No,Card,Delivered,check address
ORD1107,Tablet,Delhi,Supplier C,43810.0,9,2023-04-03,2023-09-06,WH3,300.0,10.0,3.0,No,Cash,Delivered,No Notes
ORD1108,Laptop,Delhi,Supplier A,34599.0,15,2023-03-14,2023-07-10,WH3,300.0,0.0,2.0,No,Upi,Pending,check address
ORD1109,Tablet,Delhi,Unknown,22352.0,8,2023-03-29,2023-04-05,WH3,300.0,10.0,,No,Cash,Delivered,check address
ORD1110,Tablet,Mumbai,Unknown,11973.0,1,2023-08-24,2023-01-10,WH2,200.0,5.0,1.0,No,Unknown,Cancelled,late delivery
ORD1111,Laptop,Mumbai,Unknown,19501.0,3,2023-08-26,2023-10-19,WH3,100.0,0.0,5.0,Yes,Unknown,Pending,urgent
ORD1112,Tablet,Mumbai,Supplier B,21866.0,19,2023-03-15,2023-01-19,WH2,200.0,0.0,5.0,No,Unknown,Pending,No Notes
ORD1113,Keyboard,Hyderabad,Unknown,19390.0,9,2023-02-28,2023-12-07,WH3,300.0,15.0,4.0,No,Unknown,Delivered,check address
ORD1114,Mobile,Mumbai,Unknown,44531.0,19,2023-02-12,2023-03-13,WH3,100.0,15.0,3.0,No,Cash,Delivered,check address
ORD1115,Mobile,Mumbai,Unknown,42256.0,15,2023-10-05,2023-05-02,WH2,200.0,10.0,1.0,Yes,Unknown,Pending,check address
ORD1116,Laptop,Chennai,Supplier B,40528.0,14,2023-06-01,2023-08-21,Unknown,300.0,10.0,,Yes,Card,Pending,check address
ORD1117,Monitor,Chennai,Unknown,42678.0,1,2023-10-23,2023-08-25,Unknown,200.0,0.0,4.0,No,Cash,Unknown,No Notes
ORD1118,Laptop,Bangalore,Unknown,28712.0,3,2023-03-02,2023-03-09,WH1,200.0,15.0,,Yes,Card,Delivered,check address
ORD1119,Monitor,Hyderabad,Supplier B,6694.0,2,2023-07-01,2023-10-25,WH1,300.0,15.0,1.0,Yes,Unknown,Delivered,urgent
ORD1120,Mobile,Delhi,Unknown,20463.0,1,2023-10-19,2023-05-13,Unknown,300.0,10.0,1.0,No,Cash,Unknown,urgent
ORD1121,Laptop,Bangalore,Supplier C,22662.0,18,2023-04-12,2023-07-30,WH1,300.0,5.0,2.0,Yes,Card,Cancelled,check address
ORD1122,Mouse,Bangalore,Unknown,1010.0,1,2023-06-16,2023-04-01,Unknown,300.0,0.0,2.0,Yes,Upi,Pending,check address
ORD1123,Keyboard,Mumbai,Supplier A,38648.0,9,2023-11-25,2023-06-01,WH1,200.0,10.0,4.0,No,Cash,Delivered,No Notes
ORD1124,Tablet,Hyderabad,Supplier A,28515.0,7,2023-11-27,2023-12-09,Unknown,300.0,5.0,4.0,Yes,Card,Pending,late delivery
ORD1125,Monitor,Delhi,Supplier C,11846.0,13,2023-04-06,2023-12-11,WH2,100.0,15.0,,No,Upi,Unknown,No Notes
ORD1126,Mouse,Bangalore,Unknown,48258.0,17,2023-09-15,2023-07-30,WH1,300.0,5.0,4.0,No,Unknown,Pending,No Notes
ORD1127,Tablet,Hyderabad,Unknown,47285.0,13,2023-01-31,2023-08-19,WH2,300.0,0.0,1.0,No,Cash,Pending,urgent
ORD1128,Tablet,Bangalore,Unknown,29026.0,13,2023-11-23,2023-04-18,WH2,100.0,0.0,5.0,No,Unknown,Unknown,urgent
ORD1129,Laptop,Bangalore,Supplier A,17982.0,10,2023-02-11,2023-11-21,WH2,300.0,0.0,2.0,No,Upi,Delivered,late delivery
ORD1130,Tablet,Hyderabad,Supplier B,18207.0,6,2023-12-04,2023-12-02,WH2,200.0,0.0,,Yes,Card,Unknown,check address
ORD1131,Keyboard,Bangalore,Supplier C,44357.0,5,2023-12-07,2023-09-18,WH2,300.0,10.0,,No,Card,Pending,late delivery
ORD1132,Mouse,Delhi,Supplier B,38985.0,10,2023-12-13,2023-06-05,WH3,300.0,5.0,,No,Cash,Delivered,check address
ORD1133,Tablet,Chennai,Unknown,40854.0,14,2023-11-13,2023-05-08,WH2,300.0,5.0,5.0,No,Upi,Unknown,urgent
ORD1134,Laptop,Delhi,Unknown,13306.0,11,2023-02-20,2023-01-02,WH1,300.0,10.0,3.0,Yes,Upi,Unknown,urgent
ORD1135,Keyboard,Hyderabad,Unknown,1312.0,5,2023-04-22,2023-12-07,WH2,300.0,10.0,2.0,No,Cash,Delivered,check address
ORD1136,Mobile,Bangalore,Supplier B,44934.0,4,2023-08-29,2023-08-03,WH1,300.0,0.0,,Yes,Cash,Unknown,urgent
ORD1137,Mouse,Hyderabad,Unknown,7671.0,3,2023-12-10,2023-10-18,WH2,300.0,10.0,3.0,No,Unknown,Pending,late delivery
ORD1138,Tablet,Hyderabad,Unknown,24084.0,14,2023-08-16,2023-02-09,WH1,100.0,10.0,3.0,No,Cash,Delivered,late delivery
ORD1139,Laptop,Chennai,Supplier A,45698.0,13,2023-11-23,2023-09-30,WH2,300.0,15.0,4.0,No,Cash,Delivered,late delivery
ORD1140,Mobile,Delhi,Supplier A,36260.0,5,2023-06-04,2023-04-27,Unknown,300.0,0.0,,No,Upi,Delivered,check address
ORD1141,Mobile,Hyderabad,Supplier C,43905.0,12,2023-02-19,2023-03-29,WH3,300.0,10.0,1.0,No,Unknown,Cancelled,No Notes
ORD1142,Monitor,Bangalore,Supplier A,17614.0,10,2023-12-08,2023-10-20,WH1,300.0,0.0,5.0,No,Unknown,Delivered,late delivery
ORD1143,Keyboard,Chennai,Supplier A,11864.0,2,2023-12-04,2023-08-22,WH1,300.0,10.0,,Yes,Card,Cancelled,check address
ORD1144,Tablet,Bangalore,Supplier B,49114.0,7,2023-12-09,2023-06-22,WH2,200.0,15.0,3.0,No,Card,Pending,No Notes
ORD1145,Laptop,Mumbai,Supplier A,16224.0,7,2023-12-11,2023-03-08,WH1,200.0,0.0,,Yes,Card,Delivered,No Notes
ORD1146,Monitor,Chennai,Supplier A,48462.0,4,2023-06-20,2023-02-02,WH2,300.0,0.0,4.0,Yes,Card,Delivered,late delivery
ORD1147,Keyboard,Mumbai,Supplier B,45414.0,12,2023-03-14,2023-09-01,WH3,200.0,0.0,1.0,No,Unknown,Delivered,urgent
ORD1148,Monitor,Bangalore,Supplier A,45543.0,4,2023-12-08,2023-01-23,Unknown,100.0,5.0,2.0,No,Upi,Cancelled,urgent
ORD1149,Mouse,Bangalore,Supplier A,1043.0,7,2023-12-09,2023-09-08,Unknown,200.0,0.0,3.0,No,Card,Cancelled,late delivery
ORD1150,Keyboard,Delhi,Supplier C,41300.0,13,2023-02-16,2023-11-24,WH3,300.0,0.0,,No,Card,Delivered,No Notes
ORD1151,Keyboard,Delhi,Supplier A,25476.0,8,2023-11-19,2023-08-16,WH2,300.0,0.0,4.0,No,Unknown,Delivered,late delivery
ORD1152,Tablet,Hyderabad,Supplier A,28500.0,14,2023-05-09,2023-03-21,WH2,300.0,0.0,,No,Card,Delivered,No Notes
ORD1153,Keyboard,Mumbai,Supplier C,29269.0,3,2023-08-09,2023-05-23,WH3,100.0,10.0,,No,Upi,Delivered,urgent
ORD1154,Monitor,Delhi,Supplier B,20841.0,2,2023-04-02,2023-12-25,WH1,300.0,0.0,,No,Upi,Unknown,late delivery
ORD1155,Keyboard,Delhi,Supplier A,39152.0,10,2023-01-29,2023-07-07,WH1,300.0,0.0,,Yes,Upi,Delivered,check address
ORD1156,Tablet,Mumbai,Unknown,31931.0,6,2023-04-06,2023-12-16,WH1,300.0,10.0,4.0,No,Card,Delivered,urgent
ORD1157,Tablet,Delhi,Supplier B,6615.0,7,2023-10-13,2023-08-29,WH3,200.0,0.0,4.0,Yes,Card,Delivered,urgent
ORD1158,Mouse,Hyderabad,Supplier B,28961.0,16,2023-08-02,2023-08-28,Unknown,300.0,5.0,2.0,Yes,Card,Unknown,No Notes
ORD1159,Monitor,Hyderabad,Supplier A,33513.0,6,2023-07-23,2023-04-02,Unknown,200.0,15.0,1.0,Yes,Upi,Pending,urgent
ORD1160,Mobile,Chennai,Supplier C,22890.0,16,2023-11-04,2023-01-11,Unknown,200.0,5.0,5.0,Yes,Card,Pending,No Notes
ORD1161,Mobile,Bangalore,Supplier B,27870.0,12,2023-04-14,2023-06-09,WH2,100.0,0.0,5.0,No,Card,Delivered,No Notes
ORD1162,Keyboard,Mumbai,Supplier C,36763.0,15,2023-10-07,2023-07-10,WH3,100.0,10.0,3.0,No,Unknown,Delivered,check address
ORD1163,Mouse,Hyderabad,Unknown,46876.0,3,2023-03-11,2023-01-28,WH1,300.0,10.0,1.0,Yes,Unknown,Unknown,urgent
ORD1164,Laptop,Bangalore,Supplier C,48175.0,16,2023-09-02,2023-03-16,Unknown,300.0,0.0,3.0,No,Card,Delivered,urgent
ORD1165,Keyboard,Mumbai,Unknown,45327.0,18,2023-09-02,2023-01-01,Unknown,200.0,10.0,5.0,Yes,Card,Unknown,late delivery
ORD1166,Mouse,Hyderabad,Supplier C,44302.0,15,2023-09-17,2023-12-16,Unknown,300.0,10.0,2.0,No,Card,Unknown,late delivery
ORD1167,Monitor,Hyderabad,Supplier B,25746.0,6,2023-04-05,2023-11-21,WH2,300.0,0.0,,No,Upi,Pending,check address
ORD1168,Monitor,Hyderabad,Supplier C,38109.0,17,2023-04-12,2023-06-18,WH2,300.0,15.0,1.0,Yes,Upi,Cancelled,urgent
ORD1169,Monitor,Chennai,Supplier C,30836.0,2,2023-04-29,2023-06-06,WH1,300.0,10.0,1.0,No,Unknown,Cancelled,check address
ORD1170,Monitor,Chennai,Unknown,10831.0,2,2023-08-16,2023-06-30,Unknown,300.0,15.0,3.0,No,Card,Cancelled,late delivery
ORD1171,Monitor,Hyderabad,Unknown,34384.0,17,2023-04-19,2023-10-21,Unknown,200.0,0.0,3.0,No,Card,Delivered,urgent
ORD1172,Mouse,Mumbai,Supplier A,34007.0,19,2023-09-08,2023-11-27,Unknown,200.0,0.0,2.0,Yes,Unknown,Cancelled,urgent
ORD1173,Mouse,Delhi,Supplier B,39820.0,5,2023-12-27,2023-07-28,WH2,300.0,5.0,1.0,No,Upi,Delivered,No Notes
ORD1174,Tablet,Hyderabad,Supplier A,40222.0,4,2023-05-14,2023-09-06,WH1,200.0,5.0,5.0,No,Upi,Delivered,check address
ORD1175,Mobile,Bangalore,Unknown,30069.0,18,2023-11-22,2023-10-28,WH3,300.0,0.0,5.0,No,Unknown,Pending,urgent
ORD1176,Monitor,Chennai,Supplier C,43816.0,8,2023-03-07,2023-11-06,WH2,100.0,15.0,4.0,No,Card,Delivered,late delivery
ORD1177,Laptop,Hyderabad,Unknown,42882.0,9,2023-02-05,2023-06-12,Unknown,300.0,5.0,5.0,Yes,Cash,Delivered,late delivery
ORD1178,Mouse,Mumbai,Unknown,18196.0,18,2023-10-21,2023-06-12,WH1,300.0,5.0,,No,Cash,Delivered,urgent
ORD1179,Laptop,Bangalore,Supplier C,5999.0,11,2023-08-17,2023-12-22,WH1,200.0,10.0,,Yes,Unknown,Cancelled,check address
ORD1180,Laptop,Hyderabad,Supplier A,25026.0,16,2023-12-15,2023-09-23,WH3,100.0,15.0,4.0,No,Card,Delivered,No Notes
ORD1181,Laptop,Mumbai,Supplier C,2730.0,16,2023-08-21,2023-08-17,Unknown,300.0,0.0,4.0,No,Unknown,Unknown,urgent
ORD1182,Tablet,Bangalore,Unknown,4424.0,4,2023-02-05,2023-02-18,WH2,300.0,0.0,3.0,No,Card,Unknown,urgent
ORD1183,Mouse,Hyderabad,Unknown,39830.0,9,2023-07-30,2023-02-01,WH2,200.0,0.0,5.0,Yes,Card,Pending,urgent
